,scenario,tech,batt_size,marginal_cost_mwh,lifetime_co2_rate_avg,lifetime_cambium_total_value
0,StdScen19_High_RE_Cost,pv,0.0,13.74418644820136,128953100.07286043,129213196.39289953
1,StdScen19_High_RE_Cost,pv,25.0,32.05858046000747,131220423.37470978,131545426.66771692
2,StdScen19_High_RE_Cost,pv,100.0,62.54329132633065,123710063.4668843,124045912.76067649
3,StdScen19_High_RE_Cost,wind,0.0,39.56957020045238,106392893.8444431,106679585.45085806
4,StdScen19_High_RE_Cost,wind,25.0,44.6018039602165,109119337.27838187,109413331.21496506
5,StdScen19_High_RE_Cost,wind,100.0,57.449917477266666,116434707.91593313,116759276.61960961
6,StdScen19_Low_RE_Cost,pv,0.0,17.637387151149035,84954127.05853035,85275579.63042426
7,StdScen19_Low_RE_Cost,pv,25.0,35.59619760033628,91632077.92982036,92082868.59258275
8,StdScen19_Low_RE_Cost,pv,100.0,65.2603792336517,91713592.47646044,92209110.87683628
9,StdScen19_Low_RE_Cost,wind,0.0,39.95376277242456,98849335.09343016,99459262.07083982
10,StdScen19_Low_RE_Cost,wind,25.0,45.112658647608576,100215826.91368161,100829748.99248035
11,StdScen19_Low_RE_Cost,wind,100.0,58.06406922338764,106457408.98601745,107114239.2822601
12,StdScen19_Mid_Case,pv,0.0,15.037575731649722,112597825.94804431,112838828.32490312
13,StdScen19_Mid_Case,pv,25.0,33.1684688612825,116988843.16799967,117318817.67101854
14,StdScen19_Mid_Case,pv,100.0,63.366759201446676,112032297.54347003,112387974.77265023
15,StdScen19_Mid_Case,wind,0.0,39.76053202311883,102898575.981214,103254554.02676193
16,StdScen19_Mid_Case,wind,25.0,44.82629379875285,105303276.73284286,105664795.20885529
17,StdScen19_Mid_Case,wind,100.0,57.69242838774753,112339325.62200586,112735502.24739683
